ID,Platform,Feature_ENG,Feature_TH,Description_ENG,Description_TH
13,Claude,Claude Design Layout Generator,ระบบออกแบบและสร้างอินเทอร์เฟซด้วยภาษาธรรมชาติ,Generates UI prototypes and slides from brand rules and natural language,สร้างดีไซน์และต้นแบบ UI ตามคู่มือแบรนด์ด้วยคำสั่งภาษาธรรมชาติ
14,Genspark,AI Sheets & Data Visualization,ตารางคำนวณและภาพสรุปข้อมูลอัตโนมัติ,Generates smart spreadsheets and live visual dashboards from queries,สร้างสเปรดชีตอัจฉริยะและกราฟสรุปข้อมูลจากคำถามภาษาปกติ
15,Genspark,Synthetic Video Generation,การสร้างวิดีโอสังเคราะห์จากข้อความ,Generates marketing videos and promotional media directly from prompts,สังเคราะห์วิดีโอโปรโมตและสื่อการตลาดจากสคริปต์ข้อความ
16,Genspark,"Call for Me" Telephony Agent,ตัวแทนโทรศัพท์อัตโนมัติสำหรับติดต่อสื่อสาร,Outbound phone calls for bookings inquiries and customer service,โทรออกเพื่อนัดหมาย สอบถามข้อมูล หรือติดต่อบริการแทนผู้ใช้
17,Genspark,Speakly Audio Suite,ระบบถอดเสียง พิมพ์ตามคำบอก และแปลภาษาเรียลไทม์,Zero-credit voice dictation and real-time meeting translation,ระบบพิมพ์ด้วยเสียง แปลภาษาการประชุมสด และสรุปเสียง
18,Genspark,AI Meeting Bots & Automated Notes,บอทเข้าร่วมการประชุมและสรุปบันทึกอัตโนมัติ,Automatically joins calendar meetings to transcribe and send notes,บอทเข้าประชุมตามปฏิทินเพื่อจดบันทึกและส่งสรุปให้ผู้ร่วมงาน
19,Genspark,GenMail Inbox Intelligence,ระบบจัดการและตอบกลับอีเมลอัจฉริยะ,Email agent that categorizes drafts and handles high-volume inboxes,ตัวแทนช่วยคัดแยก ร่าง และตอบกลับอีเมลปริมาณมากอัตโนมัติ
20,Genspark,Dedicated Cloud VMs (Genspark Claw),คอมพิวเตอร์คลาวด์เสมือนประมวลผล 24 ชั่วโมง,Dedicated Azure VMs running 24/7 background tasks with isolated IPs,คอมพิวเตอร์บนคลาวด์ที่ทำงานรันโปรเซสต่อเนื่องได้ตลอด 24 ชั่วโมง
21,Genspark,Multi-Channel Chat Task Delegation,การสั่งงานผ่านแชทแอปพลิเคชัน (Slack WhatsApp),Command cloud agents directly via Slack Teams or WhatsApp messaging,มอบหมายงานให้ AI ทำงานผ่านแชท เช่น Slack Teams หรือ WhatsApp
22,Claude,Local Sandboxing (Claude Cowork),การทำงานกับไฟล์ในเครื่องอย่างปลอดภัยแบบ Sandbox,Safe desktop execution environment manipulating local files and folders,พื้นที่ทำงานปลอดภัยบนเดสก์ท็อปสำหรับจัดการไฟล์และเอกสารในเครื่อง
23,Claude,Mobile-to-Desktop Remote Dispatch,การสั่งงานข้ามอุปกรณ์จากมือถือไปยังเดสก์ท็อป,Triggers and steers desktop tasks remotely from mobile devices,สั่งงานจากโทรศัพท์มือถือให้เครื่องเดสก์ท็อปประมวลผลแทนได้
24,Genspark,Genspark Claw for Desktop,ระบบควบคุมหน้าจอและเบราว์เซอร์อัตโนมัติ,Native client with Computer Use and Browser Use for automation,ระบบช่วยคลิก กรอกแบบฟอร์ม และท่องเว็บอัตโนมัติบนเดสก์ท็อป
25,Genspark,Native Microsoft Office Integration,ปลั๊กอินเชื่อมต่อ Word Excel PowerPoint โดยตรง,Direct sidebar integration inside Word Excel and PowerPoint,ปลั๊กอินช่วยทำงานโดยตรงภายในโปรแกรม Word Excel และ PowerPoint
26,Genspark,Sparkpages Cited Research Engine,เครื่องมือค้นคว้าและสรุปรายงานพร้อมแหล่งอ้างอิง,Multi-engine research synthesis producing interactive cited pages,รวบรวมข้อมูลจากหลายแหล่งพร้อมสร้างหน้าสรุปอ้างอิงอัจฉริยะ
27,Claude,Computer Use API,API สั่งการควบคุมหน้าจอและคีย์บอร์ดเสมือน,Vision and control interface allowing models to navigate screen UI,ระบบรับรู้หน้าจอและสั่งการเมาส์/คีย์บอร์ดเพื่อทำงานบนแอปพลิเคชัน
28,Claude,Model Context Protocol (MCP),โปรโตคอลมาตรฐานเชื่อมต่อ AI เข้ากับฐานข้อมูลองค์กร,Standardized open framework for connecting AI models to external enterprise APIs,มาตรฐานเปิดสำหรับเชื่อมต่อ AI เข้ากับ API และฐานข้อมูลขององค์กร
29,Claude,Server-Side Scheduled Workflows,การตั้งเวลาทำงานอัตโนมัติบนเซิร์ฟเวอร์,Server-side execution of recurring tasks without requiring local hardware online,รันงานตามเวลาที่กำหนดบนเซิร์ฟเวอร์โดยไม่ต้องเปิดคอมพิวเตอร์ทิ้งไว้
30,Genspark,Unified AI Drive & Workspace Consolidation,พื้นที่เก็บข้อมูล AI Drive และการรวมเครื่องมือ AI,50GB–1TB storage consolidating chat visuals voice and database tools,พื้นที่คลาวด์ 50GB–1TB ที่รวมเครื่องมือ AI ทุกประเภทไว้ในบัญชีเดียว
